key,en_value,usage_count,de_value,fr_value,nl_value
errorMessage.ERR_07,Declaration ID must be either an MRN or a numerical ID.,0,Declaration ID must be either an MRN or a numerical ID.,Declaration ID must be either an MRN or a numerical ID.,Declaration ID must be either an MRN or a numerical ID.
errorMessage.ERR_08,Guarantee not found.,0,Guarantee not found.,Guarantee not found.,Guarantee not found.
errorMessage.ERR_09,Guarantee references must have status Pending.,0,Guarantee references must have status Pending.,Guarantee references must have status Pending.,Guarantee references must have status Pending.
errorMessage.ERR_10,Amount to be covered must be provided to register this guarantee reference.,0,Amount to be covered must be provided to register this guarantee reference.,Amount to be covered must be provided to register this guarantee reference.,Amount to be covered must be provided to register this guarantee reference.
errorMessage.ERR_11,Customs office of guarantee must be provided to register this guarantee reference.,0,Customs office of guarantee must be provided to register this guarantee reference.,Customs office of guarantee must be provided to register this guarantee reference.,Customs office of guarantee must be provided to register this guarantee reference.
errorMessage.ERR_12,"Value of an element in a message is outside the predefined set of values or not part of the applicable technical code list (it is not facet-valid with respect to enumeration). This type of error is applicable to all elements with code values, so it is also applicable to those elements that identify a message type.",0,"Value of an element in a message is outside the predefined set of values or not part of the applicable technical code list (it is not facet-valid with respect to enumeration). This type of error is applicable to all elements with code values, so it is also applicable to those elements that identify a message type.","Value of an element in a message is outside the predefined set of values or not part of the applicable technical code list (it is not facet-valid with respect to enumeration). This type of error is applicable to all elements with code values, so it is also applicable to those elements that identify a message type.","Value of an element in a message is outside the predefined set of values or not part of the applicable technical code list (it is not facet-valid with respect to enumeration). This type of error is applicable to all elements with code values, so it is also applicable to those elements that identify a message type."
errorMessage.ERR_13,"A mandatory/required element is missing in the received data, e.g. a required element is not present.",0,"A mandatory/required element is missing in the received data, e.g. a required element is not present.","A mandatory/required element is missing in the received data, e.g. a required element is not present.","A mandatory/required element is missing in the received data, e.g. a required element is not present."
errorMessage.ERR_14,unknown,0,unknown,unknown,unknown
errorMessage.ERR_15,An element is not allowed to have a value because it is not allowed to be present according to the TMS message specification (including sequence of elements).,0,An element is not allowed to have a value because it is not allowed to be present according to the TMS message specification (including sequence of elements).,An element is not allowed to have a value because it is not allowed to be present according to the TMS message specification (including sequence of elements).,An element is not allowed to have a value because it is not allowed to be present according to the TMS message specification (including sequence of elements).
errorMessage.ERR_18,Unspecified Error.,0,Unspecified Error.,Unspecified Error.,Unspecified Error.
errorMessage.ERR_27,The value defining Code list CL027 indicator flag is invalid,0,The value defining Code list CL027 indicator flag is invalid,The value defining Code list CL027 indicator flag is invalid,The value defining Code list CL027 indicator flag is invalid
errorMessage.ERR_35,Too many repetitions of a data group than the allowed.,0,Too many repetitions of a data group than the allowed.,Too many repetitions of a data group than the allowed.,Too many repetitions of a data group than the allowed.
errorMessage.ERR_39,Notification that the length of the element received exceeded the maximum length specified.,0,Notification that the length of the element received exceeded the maximum length specified.,Notification that the length of the element received exceeded the maximum length specified.,Notification that the length of the element received exceeded the maximum length specified.
errorMessage.ERR_40,Notification that the length of an element received is shorter than the minimum length specified.,0,Notification that the length of an element received is shorter than the minimum length specified.,Notification that the length of an element received is shorter than the minimum length specified.,Notification that the length of an element received is shorter than the minimum length specified.
errorMessage.ERR_50,"The value of the specific data item is invalid according to the type of this element. For instance, MRN does not conform to the specifications given in the convention.",0,"The value of the specific data item is invalid according to the type of this element. For instance, MRN does not conform to the specifications given in the convention.","The value of the specific data item is invalid according to the type of this element. For instance, MRN does not conform to the specifications given in the convention.","The value of the specific data item is invalid according to the type of this element. For instance, MRN does not conform to the specifications given in the convention."
errorMessage.ERR_51,The value of the specific data item is invalid with respect to the defined pattern for this specific type.,0,The value of the specific data item is invalid with respect to the defined pattern for this specific type.,The value of the specific data item is invalid with respect to the defined pattern for this specific type.,The value of the specific data item is invalid with respect to the defined pattern for this specific type.
errorMessage.ERR_52,Unclosed XML tags.,0,Unclosed XML tags.,Unclosed XML tags.,Unclosed XML tags.
errorMessage.ERR_53,One (or more) character(s) used in a specific item is (are) not valid character(s).,0,One (or more) character(s) used in a specific item is (are) not valid character(s).,One (or more) character(s) used in a specific item is (are) not valid character(s).,One (or more) character(s) used in a specific item is (are) not valid character(s).
errorMessage.ERR_54,"The value of the element is numerically lower than the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value lower to that limit will be invalid (e.g. 98).",0,"The value of the element is numerically lower than the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value lower to that limit will be invalid (e.g. 98).","The value of the element is numerically lower than the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value lower to that limit will be invalid (e.g. 98).","The value of the element is numerically lower than the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value lower to that limit will be invalid (e.g. 98)."
errorMessage.ERR_55,"The value of the element is numerically greater than the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 101).",0,"The value of the element is numerically greater than the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 101).","The value of the element is numerically greater than the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 101).","The value of the element is numerically greater than the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 101)."
errorMessage.ERR_56,"The value of the element is numerically lower than or equal to the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value equal or lower to that limit will be invalid (e.g. 99).",0,"The value of the element is numerically lower than or equal to the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value equal or lower to that limit will be invalid (e.g. 99).","The value of the element is numerically lower than or equal to the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value equal or lower to that limit will be invalid (e.g. 99).","The value of the element is numerically lower than or equal to the lowest limit defined for this data item. For instance, if the minimum defined value is 99, then any value equal or lower to that limit will be invalid (e.g. 99)."
errorMessage.ERR_57,"The value of the element is numerically greater than or equal to the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 100).",0,"The value of the element is numerically greater than or equal to the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 100).","The value of the element is numerically greater than or equal to the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 100).","The value of the element is numerically greater than or equal to the upper limit defined for this data item. For instance, if the maximum defined value is 100 then any value greater to that limit will be invalid (e.g. 100)."
errorMessage.ERR_90_LRN,unknown,0,unknown,unknown,unknown
errorMessage.ERR_90_MRN,N/A,0,N/A,N/A,N/A
errorMessage.ERR_92,N/A,0,N/A,N/A,N/A
errorMessage.GMS_ERR,GMS ERR,0,GMS ERR,GMS ERR,GMS ERR
errorMessage.UIERR_01,No pending request found for specified IR or decision is already given for pending request.,0,Kein ausstehender Antrag auf UE vorhanden oder für den Antrag liegt bereits eine Entscheidung vor.,Pas de demande en cours pour l'irrégularité spécifiée ou décision déjà donnée pour la demande en cours,Geen lopend verzoek gevonden voor gespecifieerde IV of beslissing is reeds genomen voor het lopende verzoek.
errorMessage.UIERR_02,The Invalidation request cannot be processed as current status is not in allowed state list.,0,"Der Antrag auf Ungültigerklärung kann nicht verarbeitet werden, da sich der aktuelle Status nicht in der Liste der zulässigen Status befindet..",La demande d'invalidation n'a pas pu être traitée puisque le statut actuel n'est pas autorisé dans la liste des états.,Het invalidatieverzoek kan niet worden verwerkt omdat de huidige status niet in de toegelaten status lijst staat.
errorMessage.UIERR_03,Departure transport means cannot be added after transition period expiry,0,Departure transport means cannot be added after transition period expiry,Departure transport means cannot be added after transition period expiry,Departure transport means cannot be added after transition period expiry
errorMessage.UIERR_04,Incorrect date.,0,Falsches Datum.,Date incorrecte.,Onjuiste datum.
errorMessage.discard,Discard,1,Verwerfen,Jeter,Ongedaan maken
errorMessage.failure,Error(s) found.,1,Fehler gefunden.,Erreur(s) trouvée(s).,Fout(en) gevonden.
errorMessage.generalError,There was an unexpected service error. We were unable to perform this action. Please try again.,1,Es ist ein unerwarteter Betriebsfehler aufgetreten. Wir konnten diese Aktion nicht durchführen. Bitte versuchen Sie es erneut.,Il y a eu une erreur de service inattendue. Nous n'avons pas pu effectuer cette action. Veuillez réessayer.,Er is een onverwachte servicefout opgetreden. Deze actie kon niet uitgevoerd worden. Probeert u alstublieft opnieuw.
errorMessage.invalidProcedureForRelease,This declaration cannot be released,0,Diese Anmeldung kann nicht überlassen werden,Cette procédure ne peut pas être libérée,Deze aangifte kan niet worden vrijgegeven
errorMessage.new,New,1,Neu,Nouveau,Nieuw
errorMessage.saveDeleted,"We were not able to submit the draft. The draft that you are working on, has been deleted.",0,"Wir konnten den Entwurf nicht speichern. Der Entwurf, an dem Sie arbeiten, wurde gelöscht. Möchten Sie eine neue Versandanmeldung erstellen ?",Nous n'avons pas pu enregistrer le brouillon. Le brouillon sur lequel vous travaillez a été supprimé. Souhaitez-vous créer une nouvelle déclaration de transit ?,"We konden uw concept niet opslaan. Het concept waaraan u werkt, is verwijderd. Wilt u een nieuwe Transitaangifte aanmaken ?"
errorMessage.saveOutdated,"We were not able to save your draft. The draft that you are working on, is outdated. A more recent version is available. Any changes you made are discarded.",0,"Wir konnten Ihren Entwurf nicht speichern. Der Entwurf, an dem Sie gerade arbeiten, ist veraltet. Es ist eine neuere Fassung verfügbar. Die von Ihnen vorgenommenen Änderungen werden verworfen.",Nous n'avons pas pu sauvegarder votre brouillon. Le brouillon sur lequel vous travaillez est obsolète. Une version plus récente est disponible. Toutes les modifications que vous avez apportées sont rejetées.,We konden uw concept niet opslaan. Het in gebruik zijnde concept is verlopen. Er is een recentere versie beschikbaar. Eventuele wijzigingen zijn verloren gegaan.
errorMessage.wrong,Something went wrong,2,Es ist etwas schief gelaufen,Quelque chose a mal tourné,Er ging iets mis
eventHistory.button.backToHistory,Back to history,0,Back to history,Back to history,Back to history
eventHistory.button.close,Close,0,Close,Close,Close
eventHistory.error.amendment,Amendment,0,Amendment,Amendment,Amendment
eventHistory.error.errorMessage,We couldn’t accept your request for {{cat}} due to {{reason}},2,Wir konnten Ihre Anfrage aus den folgenden Gründen nicht annehmen:,We couldn’t accept your request for {{cat}} due to {{reason}},We couldn’t accept your request for {{cat}} due to {{reason}}
eventHistory.error.errorMessageForAReason,We couldn't accept your request for the following reason(s):,2,Wir konnten Ihre Anfrage aus folgenden Gründ(en) nicht annehmen:,Nous n'avons pas pu accepter votre demande pour la ou les raisons suivantes:,We kunnen uw verzoek niet aanvaarden wegens de volgende reden(en):
eventHistory.error.invalidation,Invalidated,0,Invalidated,Invalidated,Invalidated
eventHistory.error.outdated,We were not able to handle invalidation request ,2,Wir konnten den Antrag auf Ungültigkeitserklärung nicht bearbeiten ,Nous n'avons pas pu traiter votre demande d'invalidation portant le ,We hebben uw annulatieverzoek niet kunnen behandelen 
eventHistory.error.outdatedSuff,. Please refresh the page and try again,1,. Bitte laden Sie die Seite neu und versuchen Sie es noch einmal. ,.  Veuillez rafraichir la page et réessayer.,. Gelieve de pagina te verversen en probeer opnieuw.
eventHistory.error.title,Error,0,Error,Error,Error
eventHistory.label.Amendment,Amendment request,0,Amendment request,Amendment request,Amendment request
eventHistory.label.Approved,Approved,0,Approved,Approved,Approved
eventHistory.label.Invalidated,Invalidated,0,Invalidated,Invalidated,Invalidated
eventHistory.label.Invalidation,Invalidation request,0,Invalidation request,Invalidation request,Invalidation request
eventHistory.label.Refused,Refused,0,Refused,Refused,Refused
eventHistory.label.Submission,Submission,0,Submission,Submission,Submission
eventHistory.label.action,Action,2,Aktion,Action,Actie
eventHistory.label.at,at,0,at,at,at
eventHistory.label.category,Category,0,Category,Category,Category
eventHistory.label.dateTime,Date and time,2,Date and time,Date and time,Date and time
eventHistory.label.error,View error,0,View error,View error,View error
eventHistory.label.export,Export,0,Export,Export,Export
eventHistory.label.history,History,1,History,History,History
eventHistory.label.nctsStatus,NCTS status,0,NCTS status,NCTS status,NCTS status
eventHistory.label.on,on,0,on,on,on
eventHistory.label.remark,Remark,2,Remark,Remark,Remark
eventHistory.label.request,View request,0,View request,View request,View request
eventHistory.label.requestLabel,request,0,request,request,request
eventHistory.label.requestStatus,Request status,0,Request status,Request status,Request status
eventHistory.label.timerType,Timer Type,2,Timer Type,Timer Type,Timer Type
eventHistory.label.user,User,2,User,User,User
eventHistory.label.v,V,0,V,V,V
eventHistory.label.version,Version,0,Version,Version,Version
eventHistory.label.view,View,0,View,View,View
eventHistory.nctsStatus.Accepted,Accepted,0,Accepted,Accepted,Accepted
eventHistory.nctsStatus.Invalidation,Invalidation,0,Invalidation,Invalidation,Invalidation
eventHistory.nctsStatus.Irregularity under investigation,Irregularity under investigation,0,Irregularity under investigation,Irregularity under investigation,Irregularity under investigation
eventHistory.nctsStatus.Prelodged,Pre-lodged,0,Pre-lodged,Pre-lodged,Pre-lodged
eventHistory.request.invalidationRequest,Request for invalidation,0,Antrag auf Ungültigkeitserklärung,Demande d'invalidation,Invalideringsverzoek
eventHistory.request.reason,Reason,0,Reason,Reason,Reason
generalInfoForm.errors.email,The email address is invalid,2,Die E-Mail-Adresse ist ungültig,L'adresse email n'est pas valide,Het e-mailadres is ongeldig
generalInfoForm.errors.greaterThanZero,Please enter a value greater than 0,1,Bitte geben Sie einen Wert größer als 0 ein,Veuillez saisir une valeur supérieure à 0,Vul een waarde groter dan 0 in
generalInfoForm.errors.hasCrsIssue,*Invalid value or crs issue,2,*Invalid value or crs issue,*Invalid value or crs issue,*Invalid value or crs issue
generalInfoForm.errors.invalidLatitude,Invalid latitude: must be between -90.00000 and 90.00000,1,"Ungültiger Breitengrad: Muss zwischen -90,00000 und 90,00000 liegen","Latitude invalide : doit être comprise entre -90,00000 et 90,00000","Ongeldige breedtegraad: moet tussen -90,00000 en 90,00000 liggen"
generalInfoForm.errors.invalidLongitude,Invalid longitude: must be between -180.00000 and 180.00000,1,"Ungültiger Längengrad: Muss zwischen -180,00000 und 180,00000 liegen","Longitude invalide : doit être comprise entre -180,00000 et 180,00000","Ongeldige lengtegraad: moet tussen -180,00000 en 180,00000 liggen"
generalInfoForm.errors.invalidMRN,*Invalid MRN,1,*Invalid MRN,*Invalid MRN,*Invalid MRN
generalInfoForm.errors.isDuplicate,*Please enter a unique value,0,*Bitte geben Sie einen eindeutigen Wert ein.,*Veuillez entrer une valeur unique,*Vul alstublieft een unieke waarde in
generalInfoForm.errors.isFirstDigitIdTypeNotEqualToFDInlandMode,*First digit of identification type is not equal to first digit of inland Mode,0,*Die erste Ziffer des Identifikationstyps stimmt nicht mit der ersten Ziffer der Inlandsbeförderung überein.,*First digit of identification type is not equal to first digit of inland Mode,*First digit of identification type is not equal to first digit of inland Mode
generalInfoForm.errors.isLowerCase,*Must be upper case,0,*Muss großgeschrieben werden.,*Must be upper case,*Must be upper case
generalInfoForm.errors.isWrongSelection,*Please select a valid value,2,*Please select a valid value,*Veuillez sélectionner une valeur valable,*Selecteert u alstublieft een geldige waarde
generalInfoForm.errors.required,*Please enter a value,8,*Bitte geben Sie einen Wert ein.,*Veuillez introduire une valeur,*Vult u alstublieft een geldige waarde in
generalInfoForm.errors.selectRequired,*Please select a value,9,*Bitte wählen Sie einen Wert.,*Veuillez sélectionner une valeur,*Selecteert u alstublieft een waarde
generalInfoForm.hints.hintWithDecimal,Maximum {{ noOfDigits }} digits with {{ noOfDecimal }} digits after decimal,2,Maximal {{noOfDigits}} Ziffern davon {{ noOfDecimal }} Nachkommastellen, {{noOfDigits}} chifres maximum dont {{ noOfDecimal }} après décimal,Maximum {{noOfDigits}} cijfers met {{ noOfDecimal }} na de komma
generalInfoForm.hints.hintWithDigits,Maximum {{ noOfDigits }} digits,4,Maximal {{noOfDigits}} Ziffern, {{noOfDigits}} chifres maximum,Maximum {{noOfDigits}} cijfers
generalInfoForm.hints.hintWithLength,Maximum {{ noOfChars }} characters,15,Maximal  {{noOfChars}} Zeichen,{{noOfChars}} caractères maximum,Maximum {{noOfChars}} karakters
generalInfoForm.hints.hintWithLengthShort,Max. {{ noOfChars }} characters,0,Maximal  {{noOfChars}} Zeichen,{{noOfChars}} caractères maximum,Maximum {{noOfChars}} karakters
generalInfoForm.hints.hintWithPhoneNumber,Area code followed by phone number,2,Vorwahl gefolgt von der Telefonnummer,Code régional suivi du numéro de téléphone,Zone nummer gevolgd door telefoonnummer
generalInfoForm.hints.latitude,Please enter a valid latitude between -90.00000 and 90.00000,1,"Bitte geben Sie einen gültigen Breitengrad zwischen -90,00000 und 90,00000 ein",Veuillez saisir une latitude valide comprise entre -90.00000 et 90.00000,"Voer een geldige breedtegraad in tussen -90,00000 en 90,00000"
generalInfoForm.hints.length,0/{{ noOfDigits }},0,0/{{ noOfDigits }},0/{{ noOfDigits }},0/{{ noOfDigits }}
generalInfoForm.hints.longitude,Please enter a valid longitude between -180.00000 and 180.00000,1,Bitte geben Sie einen gültigen Längengrad zwischen -180.00000 und 180.00000 ein,Veuillez saisir une longitude valide comprise entre -180.00000 et 180.00000,"Voer een geldige lengtegraad in tussen -180,00000 en 180,00000"
generalInfoForm.lables.EcoOperatorEORI,Economic operator EORI,0,Economic operator EORI,Economic operator EORI,Economic operator EORI
generalInfoForm.lables.acceptanceDate,Acceptance date,5,Annahmedatum,Date d'acceptation,Datum van aanvaarding
generalInfoForm.lables.accessCode,Access code,2,Zugriffscode,Code d'accès,Toegangscode
generalInfoForm.lables.activeBorderTransportMean,Active border transport mean,7,Grenzüberschreitendes aktives Beförderungsmittel,Moyenne de transport actif à la frontière,Actief vervoermiddel aan de grens
generalInfoForm.lables.activeBorderTransportMeans,Active border transport mean(s),6,Grenzüberschreitendes aktives Beförderungsmittel,Moyen(s) de transport actif à la frontière,Actieve vervoermiddel aan de grens
generalInfoForm.lables.actor,ACTOR,1,MARKTTEILNEHMER,ACTEUR,ACTOR
generalInfoForm.lables.actualCustomOfficeOfDestination,Actual customs office of destination,1,Tatsächliche Bestimmungszollstelle,Bureau de douane de destination effectif,Werkelijk kantoor van bestemming
generalInfoForm.lables.added,Added,2,Hinzugefügt,Ajouté,Toegevoegd
generalInfoForm.lables.additionalDeclarationType,Additional declaration type,4,Art der zusätzlichen Anmeldung,Type de déclaration complémentaire,Aanvullend aangifte type
generalInfoForm.lables.additionalIdentifierButton,Additional Identifier (optional),1,Zusätzliche Kennung,Identifiant supplémentaire (optional),Aanvullende identificator
generalInfoForm.lables.additionalIdentifierField,Additional Identifier,4,Zusätzliche Kennung,Identifiant supplémentaire,Aanvullende identificator
generalInfoForm.lables.additionalInformation,Additional information,13,Zusätzliche Information,Information supplémentaire,Aanvullende informatie
generalInfoForm.lables.additionalInformationSub,ADDITIONAL INFORMATION,0,ZUSÄTZLICHE INFORMATION,INFORMATION SUPPLÉMENTAIRE,AANVULLENDE INFORMATIE
generalInfoForm.lables.additionalInformations,Additional information(s),1,Zusätzliche Information,Information(s) supplémentaire,Aanvullende informatie(s)
generalInfoForm.lables.additionalReference,Additional reference,13,Sonstige Verweis,Référence complémentaire,Aanvullende referentie
generalInfoForm.lables.additionalReferenceSub,ADDITIONAL REFERENCE,0,SONSTIGER VERWEIS,ADDITIONAL REFERENCE,ADDITIONAL REFERENCE
generalInfoForm.lables.additionalReferences,Additional reference(s),12,Sonstige(r) Verweis(e),Référence(s) complémentaire,Aanvullende referentie(s)
generalInfoForm.lables.additionalStreet,Additional street line (optional),0,Additional street line (optional),Additional street line (optional),Additional street line (optional)
generalInfoForm.lables.additionalSupplyChainActor,Additional supply chain actor,12,Zusätzlicher Wirtschaftsbeteiligter der Lieferkette,Autre acteur de la chaîne d’approvisionnement,Extra actor in de toeleveringsketen
generalInfoForm.lables.additionalSupplyChainActors,Additional supply chain actor(s),11,Zusätzlicher Wirtschaftsbeteiligter in der Lieferkette,Autre acteur(s) de la chaîne d’approvisionnement,Extra actor(en) in de toeleveringsketen
generalInfoForm.lables.address,Address,4,Address,Address,Address
generalInfoForm.lables.addressType,Address type,0,Address type,Address type,Address type
generalInfoForm.lables.addressedCustomsOffice,Addressed customs office,2,Empfangende Zollstelle,Bureau de douane requis,Vermeld douanekantoor
generalInfoForm.lables.alternativeProof,Alternative Proof,3,Alternativer Nachweis,Preuve alternative,Alternatief bewijs
generalInfoForm.lables.alternativeProofDate,Alternative proof date,1,Alternativer Nachweis Datum,Date de preuve alternative,Datum alternatief bewijs
generalInfoForm.lables.alternativeProofText,Alternative proof text,1,Alternativer Nachweis,Texte de preuve alternative,Alternatief bewijs
generalInfoForm.lables.amount,Amount,5,Betrag,Montant,Bedrag
generalInfoForm.lables.approved,Approved,1,Genehmigt,Approuvé,Goedgekeurd
generalInfoForm.lables.arrivalDate,Arrival date,4,Ankunftsdatum,Date d'arrivée,Aankomst datum
generalInfoForm.lables.arrivalDateAndTimeActual,Arrival date and time (actual),2,Ankunftsdatum und -zeit (tatsächlich),Date et heure d'arrivée (réelles),Aankomstdatum en tijd (werkelijk)
generalInfoForm.lables.arrivalLimitDate,Arrival limit date,4,Limitdatum der Ankunft,Date limite d’arrivée,Limietdatum aankomst
generalInfoForm.lables.arrivalNotificationDateAndTime,Arrival notification date and time (actual),0,Datum und Uhrzeit der Ankunftsbenachrichtigung (tatsächlich),Date et heure de notification d'arrivée (réelles),Aankomstmeldingsdatum en tijd (werkelijk)
generalInfoForm.lables.arrivalTime,Arrival time,2,Zeitpunkt der Ankunft,Heure d'arrivée,Aankomst tijd
generalInfoForm.lables.arrivalTransportIdentification,Arrival transport means identification,0,Arrival transport means identification,Arrival transport means identification,Arrival transport means identification
generalInfoForm.lables.arrivalTransportMeansIdentificationType,Arrival transport means identification type,0,Arrival transport means identification type,Arrival transport means identification type,Arrival transport means identification type
generalInfoForm.lables.authorisation,Authorisation,8,Bewilligung,Authorisation,Vergunning
generalInfoForm.lables.authorisationNumber,Authorisation number,0,Authorisation number,Authorisation number,Authorisation number
generalInfoForm.lables.authorisationSub,AUTHORISATION,0,Bewilligung,AUTHORISATION,VERGUNNING
generalInfoForm.lables.authorisations,Authorisation(s),1,Bewilligung(en),Authorisation(s),Vergunning(en)
generalInfoForm.lables.bindingItinerary,Binding itinerary,4,Verbindliche Beförderungsstrecke,Itinéraire obligatoire,Verplichte route
generalInfoForm.lables.carrier,Carrier,3,Beförderer,Transporteur,Vervoerder
generalInfoForm.lables.changedFrom,Changed from,1,Geändert von,Modifié depuis,Gewijzigd van
generalInfoForm.lables.city,City,19,Stadt,Ville,Stad
generalInfoForm.lables.clearedWas,Cleared. Was,1,Gelöscht. War,Effacer. Était,Gewist. Was
generalInfoForm.lables.code,Code,2,Code,Code,Code
generalInfoForm.lables.communicationLanguageAtDeparture,Communication language at departure,4,Kommunikationssprache bei der Abfahrt,Langue de communication au départ,Communicatie taal bij vertrek
generalInfoForm.lables.complementOfInformation,Complement of information,8,Zusätzliche Angaben,Informations complémentaires,Aanvullende informatie
generalInfoForm.lables.confirmDeleteConsignmentItem,Are you sure you want to delete this consignment item?,1,Möchten Sie diesen Sendungsartikel wirklich löschen?,Êtes-vous sûr de vouloir supprimer cet article de consignation?,Weet u zeker dat u dit artikel wilt verwijderen?
generalInfoForm.lables.confirmDeleteHouseConsignment,Are you sure you want to delete this house consignment?,1,Bestätigen Sie die Löschung der Einzelsendung,Êtes-vous sûr de vouloir supprimer cette house consignment?,Bent u zeker dat u deze huiszending wilt verwijderen?
generalInfoForm.lables.consignee,Consignee,6,Empfänger,Destinataire,Geadresseerde
generalInfoForm.lables.consignmentItemTableTitle,House Consignment{{hcNumber}}- Consignment Item(s),1,Einzelsendung{{hcNumber}}- Artikel(en),House Envoi{{hcNumber}}- Article(s),Huiszending{{hcNumber}}- Artikel(en)
generalInfoForm.lables.consignmentItemTitle,House Consignment{{hcNumber}}- Consignment Item{{hciNumber}},1,Einzelsendung{{hcNumber}}- Artikel{{hciNumber}},House Envoi{{hcNumber}}- Article{{hciNumber}},Huiszending{{hcNumber}}- Artikel{{hciNumber}}
generalInfoForm.lables.consignor,Consignor,6,Versender,Expéditeur,Afzender
generalInfoForm.lables.consultCustomsOffice,Customs office,2,Zollstelle,Bureau de douane,Douanekantoor
generalInfoForm.lables.container,CONTAINER,13,CONTAINER,CONTENEUR,CONTAINER
generalInfoForm.lables.containerIdentificationNumber,Container identification number,9,Containernummer,Numéro d’identification du conteneur,Identificatienummer van de container
generalInfoForm.lables.containerIndicator,Container indicator,4,Container-Indikator,Indicateur du conteneur,Indicator container
generalInfoForm.lables.controlResultDiscrepanciesGeneralSub,Please provide the discrepancies found on the applicable elements. When ready go back to the 'Control Result' section to complete the control result registration.,11,"Bitte geben Sie die festgestellten Abweichungen zu den entsprechenden Elementen an. Kehren Sie anschließend zum Abschnitt 'Kontrollergebnis' zurück, um die Registrierung des Kontrollergebnisses abzuschließen.","Veuillez indiquer les divergences constatées sur les éléments concernés. Lorsque vous êtes prêt, retournez à la section 'Résultat du Contrôle' pour terminer l'enregistrement des résultats du contrôle.",Geef de afwijkingen op die zijn gevonden in de betreffende elementen. Ga vervolgens terug naar het gedeelte 'Controleresultaat' om de registratie van de controleresultaten te voltooien.
generalInfoForm.lables.controlResultLimitDate,Control result limit date,2,Limitdatum der Kontrollergebnis,Date limite du résultat du contrôle,Limietdatum controle resultaat
generalInfoForm.lables.controlResultSub,"Please complete the form to register the control results. To provide specific discrepancies on elements in de declaration, additional screens will become available when indicating a general result that is 'Not satisfactory' or 'Discrepancies'.",1,"Bitte füllen Sie das Formular aus, um die Kontrollergebnisse zu erfassen. Um spezifische Abweichungen zu Elementen in der Erklärung anzugeben, werden zusätzliche Bildschirme verfügbar, wenn ein allgemeines Ergebnis mit 'Nicht zufriedenstellend' oder 'Abweichungen' angegeben wird.","Veuillez remplir le formulaire pour enregistrer les résultats du contrôle. Pour signaler des divergences spécifiques sur des éléments de la déclaration, des écrans supplémentaires seront disponibles lorsque vous indiquerez un résultat général «Non satisfaisant» ou «Divergences».","Vul het formulier in om de controleresultaten te registreren. Om specifieke afwijkingen in elementen in de aangifte aan te geven, worden extra schermen beschikbaar wanneer u een algemeen resultaat aangeeft dat 'Niet bevredigend' of 'Afwijkingen' is."
generalInfoForm.lables.conveyanceReferenceNumber,Conveyance reference number,2,Nummer der Beförderung,Bureau de douane à la frontière,Douanekantoor aan de grens
generalInfoForm.lables.country,Country,47,Land,Pays,Land
generalInfoForm.lables.countryOfDestination,Country of destination,6,Bestimmungsland,Pays de destination,Land van bestemming
generalInfoForm.lables.countryOfDispatch,Country of dispatch,9,Versendungsland,Pays d'expédition,Land van verzending
generalInfoForm.lables.countryOfRoutingOfConsignment,Country of routing of consignment,6,Beförderungsroute der Sendung,Pays de l'itinéraire de l’envoi,Land dat deel uitmaakt van het vervoerstraject van de zending
generalInfoForm.lables.crnTooltip,Customs Registration Number used as alternative identifier for the transit declaration,1,"Zollregistrierungsnummer, die als alternative Kennung für die Versandanmeldung verwendet wird",Numéro d'enregistrement douane utilisé comme identifiant alternatif pour la déclaration de transit,Douaneregistratienummer gebruikt als alternatieve identificatie voor de doorvoeraangifte
generalInfoForm.lables.currency,Currency,2,Währung,Devise,Munteenheid
generalInfoForm.lables.customsOffice,Customs office,25,Zollstelle,Bureau de douane,Douanekantoor
generalInfoForm.lables.customsOfficeAtBorder,Customs office at border,2,Nummer der Beförderung,Bureau de douane à la frontière,Douanekantoor aan de grens
generalInfoForm.lables.customsOfficeOfDeparture,Customs office of departure,8,Abgangszollstelle,Bureau de douane de départ,Douanekantoor van vertrek
generalInfoForm.lables.customsOfficeOfDestination(actual),Customs office of destination (actual),1,Zollamt des Bestimmungsortes (tatsächlich),Bureau de douane de destination (actual),Douanekantoor van bestemming (werkelijk)
generalInfoForm.lables.customsOfficeOfDestination(declared),Customs office of destination (declared),2, Abgangszollstelle (erklärt), Bureau de douane de destination (déclaré), Douanekantoor van bestemming (verklaard)
